id,item_id,name,gender,country,age,is_speaker
546,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
547,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
548,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
549,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
550,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,32,
551,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,24,
552,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,31,
553,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,IT,23,
554,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",not_say,DE,37,
555,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
556,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
557,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
558,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
559,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,NG,44,
560,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,31,
561,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IN,22,TRUE
562,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",other,IT,45,
563,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,0,
564,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",,,,
565,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,32,
566,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,48,
567,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,DE,51,
568,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,IT,26,
569,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
570,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",female,IT,28,
571,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,53,
572,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
573,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,32,
574,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,IT,28,TRUE
575,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,61,
576,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,40,
577,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,28,
578,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,47,
579,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,27,
580,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
581,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,DE,31,
582,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,36,
583,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,US,36,
584,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,DE,24,
585,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,US,0,
586,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
587,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
588,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,IT,28,
589,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,RO,25,
590,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,HR,27,
591,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
592,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,IT,27,TRUE
593,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",male,IT,27,
594,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,32,TRUE
595,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",female,IT,37,
596,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,SE,29,
597,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,35,
598,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
599,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",female,IT,30,
600,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
601,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",female,BE,42,TRUE
602,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,26,
603,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
604,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
605,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
606,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
607,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
608,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
609,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
610,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
611,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
612,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
613,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
614,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
615,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
616,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
617,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
618,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
619,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,TRUE
620,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,TRUE
621,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
622,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IN,34,
623,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,IT,26,
624,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
625,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
626,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
627,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
628,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
629,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",,,,
630,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IN,23,TRUE
631,80,"{""en"": ""Student Late Ticket"", ""it"": ""Biglietto Late Studenti""}",,,,
